Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.04,-.39,-.13,-.01,-.80,-.50,-.29,-.17,-.09,-.03,.05,.68
1881,-.09,-.19,.01,-.36,.10,-.06,-.91,-.47,-.21,.08,.12,-.05,-.07,.61
1882,-.11,-.23,.00,-.32,-.05,.02,-1.40,-.29,-.17,-.07,-.04,.02,.04,.64
1883,-.18,-.30,-.06,-.36,-.17,-.01,-.17,-.57,-.28,-.19,-.14,-.03,.07,.51
1884,-.28,-.44,-.14,-.61,-.15,-.13,-1.30,-.65,-.48,-.14,-.16,-.18,-.02,.66
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.50,-.69,-.47,-.08,-.19,-.33,-.15,.83
1886,-.31,-.44,-.19,-.58,-.20,-.21,-1.58,-.52,-.41,-.22,-.17,-.19,-.20,.60
1887,-.36,-.45,-.28,-.54,-.30,-.28,-1.76,-.53,-.30,-.31,-.30,-.27,-.26,.33
1888,-.17,-.24,-.11,-.43,.10,-.28,-1.30,-.44,-.26,.06,.14,-.30,-.22,.17
1889,-.11,-.18,-.03,-.30,.08,-.16,-.68,-.24,-.29,.01,.15,-.15,-.15,.46
1890,-.35,-.39,-.32,-.47,-.37,-.22,-1.13,-.57,-.28,-.28,-.47,-.17,-.27,.16
1891,-.22,-.26,-.19,-.43,-.08,-.21,-1.09,-.34,-.37,.00,-.16,-.17,-.24,-.14
1892,-.27,-.40,-.15,-.44,-.30,-.07,-1.11,-.66,-.19,-.35,-.25,.03,-.21,.10
1893,-.31,-.48,-.15,-.51,-.37,-.04,-.65,-.54,-.49,-.44,-.30,.07,-.20,-.03
1894,-.31,-.40,-.21,-.34,-.34,-.23,-.95,-.34,-.20,-.50,-.18,-.14,-.35,-.36
1895,-.23,-.31,-.14,-.41,-.08,-.25,-.68,-.53,-.28,-.15,.01,-.19,-.32,-.57
1896,-.12,-.21,-.03,-.37,.09,-.15,-.89,-.38,-.24,.05,.14,-.15,-.13,.27
